trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.3, 'e': 0.8448000000000061}",20,9,-36.80332663393826,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.3, 'e': 0.8444000000000061}",20,0,-178.2108723359311,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
140,False,"{'a': 0.3, 'e': 0.8440000000000062}",20,0,-165.00835111437368,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
141,False,"{'a': 0.3, 'e': 0.8436000000000062}",25,0,-208.66261120893557,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
142,False,"{'a': 0.3, 'e': 0.8432000000000063}",25,0,-118.83973099327031,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
143,False,"{'a': 0.3, 'e': 0.8428000000000063}",30,0,-77.57495790150716,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
144,False,"{'a': 0.3, 'e': 0.8424000000000064}",25,14,-92.95368014956864,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 2}",1
145,False,"{'a': 0.3, 'e': 0.8420000000000064}",25,0,-73.09442475157581,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.3, 'e': 0.8416000000000065}",20,0,-73.54955490928461,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
147,False,"{'a': 0.3, 'e': 0.8412000000000065}",25,0,-133.1627703589632,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
148,False,"{'a': 0.3, 'e': 0.8408000000000065}",20,0,-81.25310931418495,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.8404000000000066}",20,12,-20.003048713930024,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.8400000000000066}",20,0,-125.9952157126957,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
151,False,"{'a': 0.3, 'e': 0.8396000000000067}",20,2,-77.30535548994418,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.8392000000000067}",20,0,-138.1748705870123,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
153,False,"{'a': 0.3, 'e': 0.8388000000000068}",25,2,-264.93684618444337,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 6}",1
154,False,"{'a': 0.3, 'e': 0.8384000000000068}",30,0,-101.29552703741011,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
155,False,"{'a': 0.3, 'e': 0.8380000000000069}",20,8,0.09445017770190045,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.8376000000000069}",25,8,-146.0596926600789,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 2}",1
157,False,"{'a': 0.3, 'e': 0.8372000000000069}",20,3,-56.89378813454181,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
158,False,"{'a': 0.3, 'e': 0.836800000000007}",25,0,-114.68106332545845,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.3, 'e': 0.836400000000007}",20,2,-32.835792281246064,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.8360000000000071}",35,3,-109.82599305967483,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 2}",1
161,False,"{'a': 0.3, 'e': 0.8356000000000071}",20,0,-103.84761655715785,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
162,False,"{'a': 0.3, 'e': 0.8352000000000072}",20,4,-54.43754459028064,"{0: 8, 1: 5, 2: 2, 3: 1, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.8348000000000072}",25,0,-75.00364374056653,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
164,False,"{'a': 0.3, 'e': 0.8344000000000072}",20,0,-243.01229659003118,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 4}",0
165,False,"{'a': 0.3, 'e': 0.8340000000000073}",20,0,-30.910174268276826,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.3, 'e': 0.8336000000000073}",35,0,-43.82050550283714,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
167,False,"{'a': 0.3, 'e': 0.8332000000000074}",30,0,-118.6050098127661,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
168,False,"{'a': 0.3, 'e': 0.8328000000000074}",20,0,-156.91057880683738,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
169,False,"{'a': 0.3, 'e': 0.8324000000000075}",25,10,-120.9869226198356,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
170,False,"{'a': 0.3, 'e': 0.8320000000000075}",20,0,-61.539384853257516,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.3, 'e': 0.8316000000000076}",25,0,-213.25727565824394,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
172,False,"{'a': 0.3, 'e': 0.8312000000000076}",25,0,-69.69150024980439,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.3, 'e': 0.8308000000000076}",25,0,-95.06461546094003,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
174,False,"{'a': 0.3, 'e': 0.8304000000000077}",20,0,-43.29031186391391,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
175,False,"{'a': 0.3, 'e': 0.8300000000000077}",20,1,-80.02853701330562,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
176,False,"{'a': 0.3, 'e': 0.8296000000000078}",30,0,-56.35891497321923,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
177,False,"{'a': 0.3, 'e': 0.8292000000000078}",20,0,-135.48132991981058,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
178,False,"{'a': 0.3, 'e': 0.8288000000000079}",30,0,-129.05647626675923,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
179,False,"{'a': 0.3, 'e': 0.8284000000000079}",25,4,-91.87989580930979,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
180,False,"{'a': 0.3, 'e': 0.828000000000008}",20,4,-67.96990706507668,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.827600000000008}",20,0,-128.30145594372897,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
182,False,"{'a': 0.3, 'e': 0.827200000000008}",20,0,-105.83984884426494,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
183,False,"{'a': 0.3, 'e': 0.8268000000000081}",30,4,-160.28932688625443,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 1}",1
